2016-11-03 14:17:39 - [INFO] --> Logowanie użytkownika: [tkarabiniewicz]
2016-11-03 14:17:46 - [ERROR] --> Nieudane logowanie użytkownika: [wperko]
2016-11-03 14:17:58 - [ERROR] --> Nieudane logowanie użytkownika: [wpekro]
2016-11-03 14:18:07 - [INFO] --> Logowanie użytkownika: [wperko]
2016-11-03 14:26:44 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-11-03 14:54:07 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-11-03 14:57:04 - [INFO] --> Logowanie użytkownika: [serwisant1]
2016-11-03 14:59:48 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/123/2016], ID dokumentu: [221], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2016-11-03 14:59:48 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/123/2016], ID dokumentu: [221], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [1]
2016-11-03 14:59:48 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/123/2016], ID dokumentu: [221], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2016-11-03 14:59:48 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/123/2016], ID dokumentu: [221], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [1]
2016-11-03 14:59:48 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/123/2016], ID dokumentu: [221], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [pinpad], ID urządzenia: [31], Ilość: [1]
2016-11-03 14:59:48 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/123/2016], ID dokumentu: [221], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [płyta pod CM], ID urządzenia: [33], Ilość: [1]
2016-11-03 14:59:48 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/123/2016], ID dokumentu: [221], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [płyta za ACM], ID urządzenia: [34], Ilość: [1]
2016-11-03 14:59:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/123/2016], ID dokumentu: [221], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2016-11-03 14:59:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/123/2016], ID dokumentu: [221], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2016-11-03 14:59:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/123/2016], ID dokumentu: [221], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [2]
2016-11-03 14:59:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/123/2016], ID dokumentu: [221], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
