2016-11-08 12:51:15 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-11-08 12:52:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/146/2016], ID dokumentu: [260], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2016-11-08 12:52:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/146/2016], ID dokumentu: [260], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2016-11-08 12:52:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/146/2016], ID dokumentu: [260], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2016-11-08 12:52:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/146/2016], ID dokumentu: [260], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [1]
2016-11-08 12:52:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/146/2016], ID dokumentu: [260], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [pinpad], ID urządzenia: [31], Ilość: [1]
2016-11-08 12:52:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/146/2016], ID dokumentu: [260], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [płyta pod CM], ID urządzenia: [33], Ilość: [1]
2016-11-08 12:52:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/146/2016], ID dokumentu: [260], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [płyta za ACM], ID urządzenia: [34], Ilość: [1]
2016-11-08 12:52:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/146/2016], ID dokumentu: [260], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2016-11-08 12:52:37 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/146/2016], ID dokumentu: [260], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2016-11-08 12:52:37 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/146/2016], ID dokumentu: [260], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [2]
2016-11-08 12:52:37 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/146/2016], ID dokumentu: [260], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
