2016-11-09 13:34:22 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-11-09 13:40:37 - [INFO] --> Logowanie użytkownika: [lmazurowski]
2016-11-09 13:56:52 - [INFO] --> Logowanie użytkownika: [tkarabiniewicz]
2016-11-09 13:57:18 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2016-11-09 13:57:27 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-1]
2016-11-09 13:57:48 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-1]
2016-11-09 13:57:57 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2016-11-09 13:58:07 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-1]
2016-11-09 13:58:12 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-11-09 13:58:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [pinpad], Id urządzenia: [31], Ilość: [-1]
2016-11-09 13:58:27 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [płyta pod CM], Id urządzenia: [33], Ilość: [-1]
2016-11-09 13:58:44 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [płyta za ACM], Id urządzenia: [34], Ilość: [-1]
2016-11-09 13:58:56 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2016-11-09 13:59:08 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2016-11-09 13:59:17 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2016-11-09 13:59:42 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-2]
