2016-11-26 3:20:18 - [INFO] --> Logowanie użytkownika: [blarkowski]
2016-11-26 3:20:44 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Bartosz Larkowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2403], Nr automatu: [5020]
2016-11-26 3:20:44 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [4537], ID urządzenia: [129], Serwisant: [blarkowski]
2016-11-26 3:21:07 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Bartosz Larkowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2499], Nr automatu: [5048]
2016-11-26 3:21:07 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [4538], ID urządzenia: [129], Serwisant: [blarkowski]
2016-11-26 3:21:28 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Bartosz Larkowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2801], Nr automatu: [5153]
2016-11-26 3:21:28 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [4539], ID urządzenia: [129], Serwisant: [blarkowski]
2016-11-26 3:21:46 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Bartosz Larkowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2356], Nr automatu: [5323]
2016-11-26 3:21:46 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [4540], ID urządzenia: [129], Serwisant: [blarkowski]
2016-11-26 3:22:08 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Bartosz Larkowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2469], Nr automatu: [5400]
2016-11-26 3:22:08 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [4541], ID urządzenia: [129], Serwisant: [blarkowski]
2016-11-26 3:22:29 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Bartosz Larkowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [4625], Nr automatu: [5553]
2016-11-26 3:22:29 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [4542], ID urządzenia: [129], Serwisant: [blarkowski]
2016-11-26 3:22:48 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Bartosz Larkowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [4637], Nr automatu: [5751]
2016-11-26 3:22:48 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [4543], ID urządzenia: [129], Serwisant: [blarkowski]
2016-11-26 3:23:13 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Akumulator 12V 2,3 Ah], Id urządzenia: [58], Ilość: [-3]
2016-11-26 3:23:23 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [CR manual mobilny], Id urządzenia: [61], Ilość: [-2]
2016-11-26 3:23:33 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [kabel ZASILACZ - MAIN (4 żyły)], Id urządzenia: [64], Ilość: [-2]
2016-11-26 3:23:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Komputer PC 104 AMD GEODE 500 (EVOC:EC3-1641 CLDNA)], Id urządzenia: [65], Ilość: [-1]
2016-11-26 3:23:51 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [MAIN (WRDE 0141)], Id urządzenia: [66], Ilość: [-2]
2016-11-26 3:23:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [opóźniacz], Id urządzenia: [69], Ilość: [-3]
2016-11-26 3:24:09 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Wentylator 12 v 50x50], Id urządzenia: [73], Ilość: [-6]
2016-11-26 3:24:18 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Zasilacz (WRKP0135)], Id urządzenia: [75], Ilość: [-2]
2016-11-26 3:24:25 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [zespół drukarki do BM101 (stelaż, mechanizm druk., sterownik)], Id urządzenia: [76], Ilość: [-1]
2016-11-26 3:24:33 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Kabel sygnałowy LVDS do wyświetlacza 10cali użytego w BM102], Id urządzenia: [101], Ilość: [-1]
2016-11-26 3:24:43 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Pakiet terminala kart zbliżeniowych w standardzie MIFARE (GAMMA SAMIF)], Id urządzenia: [112], Ilość: [-2]
2016-11-26 3:24:53 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Kabel ZASILACZ - PC], Id urządzenia: [115], Ilość: [-2]
2016-11-26 3:25:02 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Kabel ZASILACZ - MIFARE], Id urządzenia: [117], Ilość: [-1]
2016-11-26 3:25:10 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Taśma do czytnika kart (CR - ARTEMA)], Id urządzenia: [121], Ilość: [-1]
2016-11-26 3:25:19 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Kabel PC - DRUKARKA], Id urządzenia: [122], Ilość: [-2]
2016-11-26 3:25:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Kabel ZASILACZ - MAIN (14pin)], Id urządzenia: [123], Ilość: [-2]
