2016-11-28 21:55:24 - [INFO] --> Logowanie użytkownika: [smiernik]
2016-11-28 21:55:32 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2016-11-28 21:55:40 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2016-11-28 21:55:48 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2016-11-28 21:55:56 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [pinpad], Id urządzenia: [31], Ilość: [-1]
2016-11-28 21:56:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [płyta pod CM], Id urządzenia: [33], Ilość: [-1]
2016-11-28 21:56:10 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [płyta za ACM], Id urządzenia: [34], Ilość: [-1]
2016-11-28 21:56:19 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2016-11-28 21:56:26 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2016-11-28 21:56:33 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2016-11-28 21:56:42 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-2]
2016-11-28 21:56:49 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
2016-11-28 21:56:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-3]
