2016-12-07 8:51:47 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-12-07 8:52:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6426], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [594]
2016-12-07 8:53:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6401], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [588]
2016-12-07 8:54:58 - [INFO] --> Logowanie użytkownika: [wperko]
2016-12-07 8:55:32 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Wojciech Perko], Urządzenie: [CR manual mobilny], Id urządzenia: [61], Ilość: [-2]
2016-12-07 8:55:45 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Wojciech Perko], Urządzenie: [kabel ZASILACZ - MAIN (4 żyły)], Id urządzenia: [64], Ilość: [-2]
2016-12-07 8:55:53 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Wojciech Perko], Urządzenie: [opóźniacz], Id urządzenia: [69], Ilość: [-1]
2016-12-07 8:56:02 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Wojciech Perko], Urządzenie: [Kabel ZASILACZ - PC], Id urządzenia: [115], Ilość: [-2]
2016-12-07 8:56:31 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Wojciech Perko], Urządzenie: [Wentylator 12 v 50x50], Id urządzenia: [73], Ilość: [-6]
2016-12-07 8:56:38 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Wojciech Perko], Urządzenie: [Kabel sygnałowy LVDS do wyświetlacza 10cali użytego w BM102], Id urządzenia: [101], Ilość: [-1]
2016-12-07 8:56:49 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Wojciech Perko], Urządzenie: [zespół drukarki do BM101 (stelaż, mechanizm druk., sterownik)], Id urządzenia: [76], Ilość: [-1]
2016-12-07 8:57:10 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Wojciech Perko], Urządzenie: [Pakiet terminala kart zbliżeniowych w standardzie MIFARE (GAMMA SAMIF)], Id urządzenia: [112], Ilość: [-1]
2016-12-07 8:57:23 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Wojciech Perko], Urządzenie: [Sprężyna do koszyka w biletomacie BM 101], Id urządzenia: [134], Ilość: [-30]
2016-12-07 8:57:32 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Wojciech Perko], Urządzenie: [Uchwyt nagrzewnicy automatu BM 101], Id urządzenia: [133], Ilość: [-5]
2016-12-07 8:57:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Wojciech Perko], Urządzenie: [Kabel ZASILACZ - MAIN (14pin)], Id urządzenia: [123], Ilość: [-2]
2016-12-07 8:57:50 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Wojciech Perko], Urządzenie: [Taśma do czytnika kart (CR - ARTEMA)], Id urządzenia: [121], Ilość: [-1]
2016-12-07 8:58:01 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Wojciech Perko], Urządzenie: [Zasilacz (WRKP0135)], Id urządzenia: [75], Ilość: [-2]
2016-12-07 8:58:09 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Wojciech Perko], Urządzenie: [Kabel PC - DRUKARKA], Id urządzenia: [122], Ilość: [-2]
