2016-12-23 7:30:33 - [INFO] --> Logowanie użytkownika: [wperko]
2016-12-23 7:30:43 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-12-23 7:34:53 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10035], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8322], Nr automatu: [5529]
2016-12-23 7:34:53 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10032], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3204], Nr automatu: [5025]
2016-12-23 7:34:53 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10033], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2357], Nr automatu: [5326]
2016-12-23 7:34:53 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10034], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4605], Nr automatu: [5071]
2016-12-23 7:45:36 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10040], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2552], Nr automatu: [5091]
2016-12-23 7:45:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10047], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2448], Nr automatu: [5179]
2016-12-23 7:45:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10041], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2803], Nr automatu: [5245]
2016-12-23 7:45:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10048], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3113], Nr automatu: [5786]
2016-12-23 7:45:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10042], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3204], Nr automatu: [5025]
2016-12-23 7:45:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10049], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3122], Nr automatu: [5804]
2016-12-23 7:45:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10043], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2298], Nr automatu: [5165]
2016-12-23 7:45:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10037], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7013], Nr automatu: [5581]
2016-12-23 7:45:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10050], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4605], Nr automatu: [5071]
2016-12-23 7:45:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10044], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2307], Nr automatu: [5172]
2016-12-23 7:45:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10038], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8061], Nr automatu: [5620]
2016-12-23 7:45:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10045], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2308], Nr automatu: [5173]
2016-12-23 7:45:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10039], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8143], Nr automatu: [5701]
2016-12-23 7:45:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [10046], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2357], Nr automatu: [5326]
