2016-12-30 13:25:55 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-12-30 13:27:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11263], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [570]
2016-12-30 13:29:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11261], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [533]
2016-12-30 13:39:19 - [INFO] --> Logowanie użytkownika: [lmazurowski]
2016-12-30 13:39:31 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2016-12-30 13:39:40 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2016-12-30 13:39:48 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [płyta pod CM], Id urządzenia: [33], Ilość: [-1]
2016-12-30 13:39:54 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [płyta za ACM], Id urządzenia: [34], Ilość: [-1]
2016-12-30 13:40:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2016-12-30 13:40:09 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2016-12-30 13:40:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2016-12-30 13:40:21 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-1]
2016-12-30 13:40:30 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-2]
2016-12-30 13:40:38 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2016-12-30 13:40:44 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2016-12-30 13:40:54 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
