2017-01-03 7:56:43 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-01-03 7:59:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11958], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8341], Nr automatu: [5548]
2017-01-03 7:59:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11952], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3125], Nr automatu: [5810]
2017-01-03 7:59:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11953], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4611], Nr automatu: [5131]
2017-01-03 7:59:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11947], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2486], Nr automatu: [5037]
2017-01-03 7:59:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11954], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4618], Nr automatu: [5499]
2017-01-03 7:59:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11948], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2550], Nr automatu: [5089]
2017-01-03 7:59:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11955], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2278], Nr automatu: [5222]
2017-01-03 7:59:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11949], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2722], Nr automatu: [5826]
2017-01-03 7:59:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11956], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7009], Nr automatu: [5577]
2017-01-03 7:59:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11950], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2723], Nr automatu: [5827]
2017-01-03 7:59:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11957], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8339], Nr automatu: [5546]
2017-01-03 7:59:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11951], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3116], Nr automatu: [5791]
