2017-01-04 2:48:39 - [INFO] --> Logowanie użytkownika: [smiernik]
2017-01-04 2:49:39 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Szymon Miernik], Urządzenie: [zespół drukarki do BM101 (stelaż, mechanizm druk., sterownik)], Id urządzenia: [76], Ilość: [-1], Nr boczny pojazdu: [2283], Nr automatu: [5152]
2017-01-04 2:49:39 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [12299], ID urządzenia: [76], Serwisant: [smiernik]
2017-01-04 2:49:58 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Szymon Miernik], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2218], Nr automatu: [5107]
2017-01-04 2:49:58 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [12300], ID urządzenia: [129], Serwisant: [smiernik]
2017-01-04 2:50:16 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Szymon Miernik], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2236], Nr automatu: [5122]
2017-01-04 2:50:16 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [12301], ID urządzenia: [129], Serwisant: [smiernik]
2017-01-04 2:50:37 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Szymon Miernik], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2381], Nr automatu: [5342]
2017-01-04 2:50:37 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [12302], ID urządzenia: [129], Serwisant: [smiernik]
2017-01-04 2:50:55 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Szymon Miernik], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2420], Nr automatu: [5021]
2017-01-04 2:50:55 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [12303], ID urządzenia: [129], Serwisant: [smiernik]
2017-01-04 2:51:12 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Szymon Miernik], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2451], Nr automatu: [5184]
2017-01-04 2:51:12 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [12304], ID urządzenia: [129], Serwisant: [smiernik]
2017-01-04 2:51:30 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Szymon Miernik], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [7341], Nr automatu: [5447]
2017-01-04 2:51:30 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [12305], ID urządzenia: [129], Serwisant: [smiernik]
2017-01-04 2:52:29 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Szymon Miernik], Urządzenie: [Wentylator 12 v 50x50], Id urządzenia: [73], Ilość: [-1], Nr boczny pojazdu: [7321], Nr automatu: [5427]
2017-01-04 2:52:29 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [12306], ID urządzenia: [73], Serwisant: [smiernik]
2017-01-04 2:52:49 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Szymon Miernik], Urządzenie: [Wentylator 12 v 50x50], Id urządzenia: [73], Ilość: [-1], Nr boczny pojazdu: [7316], Nr automatu: [5422]
2017-01-04 2:52:49 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [12307], ID urządzenia: [73], Serwisant: [smiernik]
2017-01-04 2:54:11 - [INFO] --> Logowanie użytkownika: [pmikucki]
2017-01-04 2:54:34 - [INFO] --> Logowanie użytkownika: [smiernik]
2017-01-04 2:54:42 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Akumulator 12V 2,3 Ah], Id urządzenia: [58], Ilość: [-2]
2017-01-04 2:54:50 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Antena dwupasmowa GSM/GPS], Id urządzenia: [59], Ilość: [-1]
2017-01-04 2:54:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [CR manual mobilny], Id urządzenia: [61], Ilość: [-2]
2017-01-04 2:55:07 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [kabel ZASILACZ - MAIN (4 żyły)], Id urządzenia: [64], Ilość: [-2]
2017-01-04 2:55:15 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Komputer PC 104 AMD GEODE 500 (EVOC:EC3-1641 CLDNA)], Id urządzenia: [65], Ilość: [-1]
2017-01-04 2:55:23 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [opóźniacz], Id urządzenia: [69], Ilość: [-1]
2017-01-04 2:55:32 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [MAIN (WRDE 0141)], Id urządzenia: [66], Ilość: [-2]
2017-01-04 2:55:42 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Wentylator 12 v 50x50], Id urządzenia: [73], Ilość: [-2]
2017-01-04 2:55:50 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Zasilacz (WRKP0135)], Id urządzenia: [75], Ilość: [-2]
2017-01-04 2:55:58 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Kabel sygnałowy LVDS do wyświetlacza 10cali użytego w BM102], Id urządzenia: [101], Ilość: [-1]
2017-01-04 2:56:25 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Pakiet terminala kart zbliżeniowych w standardzie MIFARE (GAMMA SAMIF)], Id urządzenia: [112], Ilość: [-1]
2017-01-04 2:56:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Kabel ZASILACZ - PC], Id urządzenia: [115], Ilość: [-2]
2017-01-04 2:56:43 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Kabel ZASILACZ - MIFARE], Id urządzenia: [117], Ilość: [-1]
2017-01-04 2:56:51 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Taśma do czytnika kart (CR - ARTEMA)], Id urządzenia: [121], Ilość: [-1]
2017-01-04 2:57:04 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Kabel PC - DRUKARKA], Id urządzenia: [122], Ilość: [-2]
2017-01-04 2:57:12 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Kabel ZASILACZ - MAIN (14pin)], Id urządzenia: [123], Ilość: [-2]
2017-01-04 2:57:22 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-18]
2017-01-04 2:57:31 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Uchwyt nagrzewnicy automatu BM 101], Id urządzenia: [133], Ilość: [-5]
2017-01-04 2:57:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Sprężyna do koszyka w biletomacie BM 101], Id urządzenia: [134], Ilość: [-30]
