2017-01-04 15:04:26 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-01-04 15:27:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12548], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [124]
2017-01-04 15:27:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12470], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [182]
2017-01-04 15:27:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12549], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [483]
2017-01-04 15:27:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12471], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [255]
2017-01-04 15:27:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12222], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [164]
2017-01-04 15:27:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12550], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [166]
2017-01-04 15:27:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12471], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [255]
2017-01-04 15:27:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12223], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [424]
2017-01-04 15:27:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12591], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [232]
2017-01-04 15:27:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12472], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [139]
2017-01-04 15:27:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12370], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [107]
2017-01-04 15:27:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12546], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [433]
2017-01-04 15:27:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12468], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [303]
2017-01-04 15:27:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12470], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [182]
2017-01-04 15:27:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12547], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [212]
