2017-01-05 12:27:21 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-01-05 12:27:30 - [INFO] --> Zmiana statusu urządzenia pobranego z automatu: [4], ID urządzenia: [7], ID damaged_devices: [1561]
2017-01-05 12:27:30 - [INFO] --> UPDATE damaged_devices SET arrival_id='1051', damaged_devices_status_id='4', mennica_service_id='1', change_status_datetime=NOW() WHERE id='1561' AND product_id='7' AND damaged_devices_status_id='1' and id > '147' 
2017-01-05 12:27:30 - [INFO] --> Zmiana statusu urządzenia pobranego z automatu: [4], ID urządzenia: [148], ID damaged_devices: [1541]
2017-01-05 12:27:30 - [INFO] --> UPDATE damaged_devices SET arrival_id='1051', damaged_devices_status_id='4', mennica_service_id='1', change_status_datetime=NOW() WHERE id='1541' AND product_id='148' AND damaged_devices_status_id='1' and id > '147' 
2017-01-05 12:27:31 - [INFO] --> Zmiana statusu urządzenia pobranego z automatu: [4], ID urządzenia: [17], ID damaged_devices: [1560]
2017-01-05 12:27:31 - [INFO] --> UPDATE damaged_devices SET arrival_id='1051', damaged_devices_status_id='4', mennica_service_id='1', change_status_datetime=NOW() WHERE id='1560' AND product_id='17' AND damaged_devices_status_id='1' and id > '147' 
2017-01-05 12:50:30 - [INFO] --> Logowanie użytkownika: [lmazurowski]
2017-01-05 12:50:47 - [INFO] --> Logowanie użytkownika: [jczajka]
2017-01-05 12:51:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2017-01-05 12:51:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2017-01-05 12:51:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2017-01-05 12:51:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2017-01-05 12:51:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [pinpad], Id urządzenia: [31], Ilość: [-1]
2017-01-05 12:51:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2017-01-05 12:51:42 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2017-01-05 12:51:42 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2017-01-05 12:51:42 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-1]
2017-01-05 12:51:42 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
2017-01-05 12:51:42 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-3]
2017-01-05 12:59:32 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
