2017-01-17 12:38:54 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-01-17 12:39:10 - [INFO] --> Zmiana statusu urządzenia pobranego z automatu: [4], ID urządzenia: [7], ID damaged_devices: [2036]
2017-01-17 12:39:10 - [INFO] --> UPDATE damaged_devices SET arrival_id='1423', damaged_devices_status_id='4', mennica_service_id='1', change_status_datetime=NOW() WHERE id='2036' AND product_id='7' AND damaged_devices_status_id='1' and id > '147' 
2017-01-17 12:39:10 - [INFO] --> Zmiana statusu urządzenia pobranego z automatu: [4], ID urządzenia: [148], ID damaged_devices: [2034]
2017-01-17 12:39:10 - [INFO] --> UPDATE damaged_devices SET arrival_id='1423', damaged_devices_status_id='4', mennica_service_id='1', change_status_datetime=NOW() WHERE id='2034' AND product_id='148' AND damaged_devices_status_id='1' and id > '147' 
2017-01-17 12:39:11 - [INFO] --> Zmiana statusu urządzenia pobranego z automatu: [4], ID urządzenia: [148], ID damaged_devices: [2051]
2017-01-17 12:39:11 - [INFO] --> UPDATE damaged_devices SET arrival_id='1423', damaged_devices_status_id='4', mennica_service_id='1', change_status_datetime=NOW() WHERE id='2051' AND product_id='148' AND damaged_devices_status_id='1' and id > '147' 
2017-01-17 12:40:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16778], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [182]
2017-01-17 12:40:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16984], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [297]
2017-01-17 12:40:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16975], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [384]
2017-01-17 12:40:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16779], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [351]
2017-01-17 12:40:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16986], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [483]
2017-01-17 12:40:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16980], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [303]
2017-01-17 12:40:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16909], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [310]
2017-01-17 12:40:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16987], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [166]
2017-01-17 12:40:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16775], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [494]
2017-01-17 12:40:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16981], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [125]
2017-01-17 12:40:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16910], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [342]
2017-01-17 12:40:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16988], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [204]
2017-01-17 12:40:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16775], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [494]
2017-01-17 12:40:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16982], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [424]
2017-01-17 12:40:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16973], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [450]
2017-01-17 12:40:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16776], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [229]
2017-01-17 12:40:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16982], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [424]
2017-01-17 12:40:08 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16973], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [450]
2017-01-17 12:40:08 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16983], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [498]
2017-01-17 12:40:08 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16974], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [473]
2017-01-17 12:40:08 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16777], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [142]
2017-01-17 12:54:27 - [INFO] --> Logowanie użytkownika: [mjanek]
