2017-01-18 10:03:00 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-01-18 10:07:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17441], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [577]
2017-01-18 10:14:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [16189], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [602]
2017-01-18 10:19:24 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-01-18 10:21:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17443], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [441]
2017-01-18 10:23:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17218], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [299]
2017-01-18 10:23:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17444], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [474]
2017-01-18 10:24:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17471], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [392]
2017-01-18 10:25:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17204], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [332]
2017-01-18 10:26:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17217], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [127]
2017-01-18 10:26:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17291], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [112]
2017-01-18 10:26:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17328], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [115]
2017-01-18 10:26:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17329], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [315]
2017-01-18 10:26:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17205], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [332]
2017-01-18 10:26:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17512], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [297]
2017-01-18 10:26:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17330], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [314]
2017-01-18 10:26:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17219], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [299]
2017-01-18 10:26:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17445], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [431]
2017-01-18 10:26:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17220], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [127]
2017-01-18 10:26:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17446], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [102]
2017-01-18 10:26:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17291], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [112]
2017-01-18 10:26:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17472], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [334]
2017-01-18 10:26:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17511], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [203]
2017-01-18 10:26:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17511], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [203]
