2017-01-23 10:05:16 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-01-23 10:07:04 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-01-23 10:13:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19234], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [101]
2017-01-23 10:13:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19139], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [224]
2017-01-23 10:13:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19578], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [169]
2017-01-23 10:13:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [18814], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [422]
2017-01-23 10:13:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19305], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [251]
2017-01-23 10:13:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [18801], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [253]
2017-01-23 10:13:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19300], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [221]
2017-01-23 10:13:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19009], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [478]
2017-01-23 10:13:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [18589], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [328]
2017-01-23 10:13:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19578], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [169]
2017-01-23 10:13:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19230], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [215]
2017-01-23 10:13:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [18815], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [296]
2017-01-23 10:13:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19095], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [123]
2017-01-23 10:13:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19380], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [388]
2017-01-23 10:13:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19154], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [328]
2017-01-23 10:13:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19301], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [107]
2017-01-23 10:13:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19010], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [284]
2017-01-23 10:13:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19141], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [487]
2017-01-23 10:13:51 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19230], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [215]
2017-01-23 10:13:51 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [18816], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [175]
2017-01-23 10:13:51 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19096], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [212]
2017-01-23 10:13:51 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19421], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [472]
2017-01-23 10:13:51 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [18805], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [121]
2017-01-23 10:13:51 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19302], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [313]
2017-01-23 10:13:51 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19011], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [248]
2017-01-23 10:20:17 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-01-23 10:21:09 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [19520], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [307]
