2017-01-25 7:10:36 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-01-25 7:20:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20737], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7302], Nr automatu: [5408]
2017-01-25 7:20:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20738], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8110], Nr automatu: [5669]
2017-01-25 7:20:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20739], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8120], Nr automatu: [5678]
2017-01-25 7:20:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20735], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5603], Nr automatu: [5185]
2017-01-25 7:20:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20736], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7020], Nr automatu: [5588]
2017-01-25 7:28:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20775], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2488], Nr automatu: [5039]
2017-01-25 7:28:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20770], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2562], Nr automatu: [5247]
2017-01-25 7:28:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20771], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2366], Nr automatu: [5329]
2017-01-25 7:28:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20772], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2466], Nr automatu: [5395]
2017-01-25 7:28:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20773], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3122], Nr automatu: [5803]
2017-01-25 7:28:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20774], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4609], Nr automatu: [5127]
2017-01-25 7:29:52 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20769], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4609], Nr automatu: [5127]
2017-01-25 7:29:52 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20763], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2366], Nr automatu: [5329]
2017-01-25 7:29:52 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20764], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2452], Nr automatu: [5183]
2017-01-25 7:29:52 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20765], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2433], Nr automatu: [5384]
2017-01-25 7:29:52 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20766], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2724], Nr automatu: [5828]
2017-01-25 7:29:52 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20767], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3122], Nr automatu: [5803]
2017-01-25 7:29:53 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20761], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2562], Nr automatu: [5247]
2017-01-25 7:29:53 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20768], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4604], Nr automatu: [5064]
2017-01-25 7:29:53 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [20762], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2805], Nr automatu: [5469]
2017-01-25 7:30:54 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/167/2017], ID dokumentu: [1704], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-01-25 7:30:54 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/167/2017], ID dokumentu: [1704], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-01-25 7:30:54 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/167/2017], ID dokumentu: [1704], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-01-25 7:30:55 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/167/2017], ID dokumentu: [1704], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-01-25 7:30:55 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/167/2017], ID dokumentu: [1704], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-01-25 7:30:55 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/167/2017], ID dokumentu: [1704], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-01-25 7:30:55 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/167/2017], ID dokumentu: [1704], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-01-25 7:30:55 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/167/2017], ID dokumentu: [1704], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-01-25 7:30:55 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/167/2017], ID dokumentu: [1704], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [pinpad], ID urządzenia: [31], Ilość: [1]
2017-01-25 7:30:55 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/167/2017], ID dokumentu: [1704], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-01-25 7:30:55 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/167/2017], ID dokumentu: [1704], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2017-01-25 7:31:53 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/168/2017], ID dokumentu: [1705], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-01-25 7:31:54 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/168/2017], ID dokumentu: [1705], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-01-25 7:31:54 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/168/2017], ID dokumentu: [1705], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-01-25 7:31:54 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/168/2017], ID dokumentu: [1705], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-01-25 7:31:54 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/168/2017], ID dokumentu: [1705], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-01-25 7:31:54 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/168/2017], ID dokumentu: [1705], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-01-25 7:31:54 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/168/2017], ID dokumentu: [1705], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-01-25 7:31:54 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/168/2017], ID dokumentu: [1705], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-01-25 7:31:54 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/168/2017], ID dokumentu: [1705], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-01-25 7:31:55 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/168/2017], ID dokumentu: [1705], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2017-01-25 7:31:55 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/168/2017], ID dokumentu: [1705], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [pinpad], ID urządzenia: [31], Ilość: [1]
