2017-02-01 9:09:25 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-02-01 9:15:39 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [24203], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5429], Nr automatu: [5712]
2017-02-01 9:15:39 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [24205], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7004], Nr automatu: [5572]
2017-02-01 9:35:34 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-02-01 9:40:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [23943], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [328]
2017-02-01 9:40:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [23703], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [100]
2017-02-01 9:40:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [23835], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [433]
2017-02-01 9:40:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [23938], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [317]
2017-02-01 9:40:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [23940], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [277]
2017-02-01 9:45:46 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [23423], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [391]
2017-02-01 9:45:46 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [23742], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [468]
2017-02-01 9:45:46 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [23944], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [448]
2017-02-01 9:45:47 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [23326], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [391]
2017-02-01 9:50:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [23418], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [251]
2017-02-01 9:50:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [23419], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [251]
2017-02-01 9:50:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [24085], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [178]
2017-02-01 9:50:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [23942], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [178]
