2017-02-06 12:10:16 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-02-06 12:10:54 - [INFO] --> Logowanie użytkownika: [serwisant1]
2017-02-06 12:13:34 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-02-06 12:26:34 - [INFO] --> Logowanie użytkownika: [lmazurowski]
2017-02-06 12:31:09 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-02-06 12:31:25 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26006], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [580]
2017-02-06 12:35:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25491], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [207]
2017-02-06 12:35:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25492], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [209]
2017-02-06 12:35:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26023], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [123]
2017-02-06 12:35:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26023], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [123]
2017-02-06 12:35:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26325], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [205]
2017-02-06 12:35:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26328], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [121]
2017-02-06 12:35:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26329], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [208]
2017-02-06 12:35:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26326], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [205]
2017-02-06 12:35:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25954], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [412]
2017-02-06 12:35:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25795], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [296]
2017-02-06 12:35:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25796], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [125]
2017-02-06 12:35:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26185], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [124]
2017-02-06 12:35:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26185], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [124]
2017-02-06 12:35:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26186], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [126]
2017-02-06 12:35:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25454], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [245]
2017-02-06 12:35:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25455], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [241]
2017-02-06 12:35:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25628], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [312]
2017-02-06 12:35:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25629], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [308]
2017-02-06 12:35:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25802], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [105]
2017-02-06 12:35:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25802], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [105]
2017-02-06 12:35:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25803], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [116]
2017-02-06 12:35:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25803], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [116]
2017-02-06 12:35:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25856], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [100]
2017-02-06 12:35:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25856], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [100]
2017-02-06 12:35:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26187], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [140]
