2017-02-09 7:16:41 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-02-09 7:32:31 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-02-09 7:35:18 - [INFO] --> Logowanie użytkownika: [msieradzki]
2017-02-09 7:35:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2017-02-09 7:35:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2017-02-09 7:35:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2017-02-09 7:35:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2017-02-09 7:35:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [pinpad], Id urządzenia: [31], Ilość: [-1]
2017-02-09 7:35:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [płytka do powerbox], Id urządzenia: [35], Ilość: [-1]
2017-02-09 7:35:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2017-02-09 7:35:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2017-02-09 7:35:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2017-02-09 7:35:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-1]
2017-02-09 7:35:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
2017-02-09 7:35:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-3]
2017-02-09 7:40:07 - [INFO] --> Logowanie użytkownika: [jczajka]
2017-02-09 7:41:02 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/390/2017], ID dokumentu: [2209], Nazwa serisanta: [Jacek Czajka], ID serwisanta: [28], Nazwa urządzenia: [Nagrzewnica], ID urządzenia: [28], Ilość: [1]
2017-02-09 7:42:28 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-02-09 7:48:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28060], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2246], Nr automatu: [5129]
2017-02-09 7:48:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28061], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2282], Nr automatu: [5151]
2017-02-09 7:48:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28062], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2298], Nr automatu: [5165]
2017-02-09 7:48:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28063], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2299], Nr automatu: [5166]
2017-02-09 7:48:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28064], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2447], Nr automatu: [5180]
2017-02-09 7:48:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28065], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2420], Nr automatu: [5021]
2017-02-09 7:48:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28066], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5442], Nr automatu: [5714]
2017-02-09 7:48:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28067], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7339], Nr automatu: [5445]
2017-02-09 7:48:25 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28068], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8029], Nr automatu: [5490]
2017-02-09 7:48:25 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28069], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8077], Nr automatu: [5636]
2017-02-09 7:48:25 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28070], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8111], Nr automatu: [5670]
2017-02-09 7:48:25 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28071], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8117], Nr automatu: [5676]
2017-02-09 7:48:25 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28072], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8311], Nr automatu: [5518]
2017-02-09 7:54:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28093], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2407], Nr automatu: [5362]
2017-02-09 7:54:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28094], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2468], Nr automatu: [5399]
2017-02-09 7:54:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28095], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2712], Nr automatu: [5277]
2017-02-09 7:54:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28096], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3011], Nr automatu: [5292]
2017-02-09 7:54:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28097], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3105], Nr automatu: [5770]
2017-02-09 7:54:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28098], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4618], Nr automatu: [5499]
2017-02-09 7:54:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28099], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3203], Nr automatu: [5026]
