2017-02-20 10:46:42 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-02-20 10:53:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [32353], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [169]
2017-02-20 10:53:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [32354], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [214]
2017-02-20 10:53:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [32041], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [132]
2017-02-20 10:53:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [32623], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [251]
2017-02-20 10:53:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [32973], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [251]
2017-02-20 10:53:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [32571], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [283]
2017-02-20 10:53:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [32925], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [478]
2017-02-20 10:57:13 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [32039], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [248]
2017-02-20 10:57:13 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [32469], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [473]
2017-02-20 10:57:13 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [32042], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [390]
2017-02-20 10:57:13 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [32043], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [277]
2017-02-20 10:57:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [32250], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [184]
2017-02-20 10:58:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [31984], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [248]
2017-02-20 10:59:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [32975], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [222]
