2017-02-22 1:21:02 - [INFO] --> Logowanie użytkownika: [lmazurowski]
2017-02-22 1:21:33 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Łukasz Mazurowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2325], Nr automatu: [5306]
2017-02-22 1:21:33 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [34046], ID urządzenia: [129], Serwisant: [lmazurowski]
2017-02-22 1:21:54 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Łukasz Mazurowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2806], Nr automatu: [5470]
2017-02-22 1:21:54 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [34047], ID urządzenia: [129], Serwisant: [lmazurowski]
2017-02-22 1:22:14 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Łukasz Mazurowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2703], Nr automatu: [5268]
2017-02-22 1:22:14 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [34048], ID urządzenia: [129], Serwisant: [lmazurowski]
2017-02-22 1:22:33 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Łukasz Mazurowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2705], Nr automatu: [5270]
2017-02-22 1:22:33 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [34049], ID urządzenia: [129], Serwisant: [lmazurowski]
2017-02-22 1:22:55 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Łukasz Mazurowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2713], Nr automatu: [5278]
2017-02-22 1:22:55 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [34050], ID urządzenia: [129], Serwisant: [lmazurowski]
2017-02-22 1:23:12 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Łukasz Mazurowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2716], Nr automatu: [5281]
2017-02-22 1:23:12 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [34051], ID urządzenia: [129], Serwisant: [lmazurowski]
2017-02-22 1:23:33 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Łukasz Mazurowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [4620], Nr automatu: [5549]
2017-02-22 1:23:33 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [34052], ID urządzenia: [129], Serwisant: [lmazurowski]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Akumulator 12V 2,3 Ah], Id urządzenia: [58], Ilość: [-2]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Antena dwupasmowa GSM/GPS], Id urządzenia: [59], Ilość: [-1]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [CR manual mobilny], Id urządzenia: [61], Ilość: [-2]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [kabel ZASILACZ - MAIN (4 żyły)], Id urządzenia: [64], Ilość: [-2]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Komputer PC 104 AMD GEODE 500 (EVOC:EC3-1641 CLDNA)], Id urządzenia: [65], Ilość: [-1]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [MAIN (WRDE 0141)], Id urządzenia: [66], Ilość: [-2]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [opóźniacz], Id urządzenia: [69], Ilość: [-1]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Wentylator 12 v 50x50], Id urządzenia: [73], Ilość: [-4]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Zasilacz (WRKP0135)], Id urządzenia: [75], Ilość: [-2]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [zespół drukarki do BM101 (stelaż, mechanizm druk., sterownik)], Id urządzenia: [76], Ilość: [-2]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Kabel sygnałowy LVDS do wyświetlacza 10cali użytego w BM102], Id urządzenia: [101], Ilość: [-1]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Pakiet terminala kart zbliżeniowych w standardzie MIFARE (GAMMA SAMIF)], Id urządzenia: [112], Ilość: [-1]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Kabel ZASILACZ - PC], Id urządzenia: [115], Ilość: [-2]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Kabel ZASILACZ - MIFARE], Id urządzenia: [117], Ilość: [-1]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Taśma do czytnika kart (CR - ARTEMA)], Id urządzenia: [121], Ilość: [-1]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Kabel PC - DRUKARKA], Id urządzenia: [122], Ilość: [-2]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Kabel ZASILACZ - MAIN (14pin)], Id urządzenia: [123], Ilość: [-2]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-17]
2017-02-22 1:24:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Uchwyt nagrzewnicy automatu BM 101], Id urządzenia: [133], Ilość: [-5]
