2017-02-22 7:04:52 - [INFO] --> Logowanie użytkownika: [dgasiewski]
2017-02-22 7:07:06 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/483/2017], ID dokumentu: [2599], Nazwa serisanta: [Daniel Gąsiewski], ID serwisanta: [25], Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [25], Ilość: [1]
2017-02-22 7:33:18 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-02-22 7:43:18 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-02-22 7:45:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33634], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [392]
2017-02-22 7:45:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33915], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [225]
2017-02-22 7:45:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33916], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [208]
2017-02-22 7:45:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33916], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [208]
2017-02-22 7:45:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33917], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [297]
2017-02-22 7:45:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33917], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [297]
2017-02-22 7:45:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33637], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [112]
2017-02-22 7:45:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33638], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [113]
2017-02-22 7:45:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33644], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [394]
2017-02-22 7:45:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33646], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [100]
2017-02-22 7:45:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33650], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [344]
2017-02-22 7:45:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33636], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [112]
2017-02-22 7:45:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33640], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [260]
2017-02-22 7:45:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33902], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [115]
2017-02-22 7:45:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33902], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [115]
2017-02-22 7:45:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34004], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [117]
2017-02-22 7:45:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33658], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [206]
2017-02-22 7:45:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33659], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [214]
2017-02-22 7:45:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [33966], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [135]
