2017-02-28 8:05:56 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-02-28 8:38:48 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-02-28 8:39:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34725], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [554]
2017-02-28 8:41:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36587], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [267]
2017-02-28 8:41:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36503], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [264]
2017-02-28 8:41:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36502], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [264]
2017-02-28 8:41:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36504], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [487]
2017-02-28 8:41:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36584], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [239]
2017-02-28 8:41:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36584], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [239]
2017-02-28 8:41:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36588], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [390]
2017-02-28 8:41:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36589], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [130]
2017-02-28 8:41:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36589], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [130]
2017-02-28 8:41:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36590], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [453]
2017-02-28 8:41:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36591], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [132]
2017-02-28 8:41:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36593], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [268]
2017-02-28 8:41:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36702], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [320]
2017-02-28 8:41:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36703], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [321]
2017-02-28 8:41:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36704], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [212]
2017-02-28 8:41:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34747], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [248]
2017-02-28 8:41:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36418], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [104]
2017-02-28 8:41:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36418], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [104]
2017-02-28 8:41:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36419], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [242]
2017-02-28 8:41:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36420], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [314]
2017-02-28 8:41:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36420], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [314]
2017-02-28 8:41:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36421], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [348]
2017-02-28 8:43:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36591], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [132]
