2017-03-03 9:41:07 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-03-03 9:42:48 - [INFO] --> Logowanie użytkownika: [rtworkowski]
2017-03-03 9:43:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37448], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [483]
2017-03-03 9:43:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37074], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [298]
2017-03-03 9:43:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37075], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [108]
2017-03-03 9:43:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37445], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [431]
2017-03-03 9:43:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37446], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [429]
2017-03-03 9:43:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37073], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [314]
2017-03-03 9:43:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [38339], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [107]
2017-03-03 9:43:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [38339], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [107]
2017-03-03 9:43:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37069], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [496]
2017-03-03 9:43:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37070], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [253]
2017-03-03 9:43:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37071], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [138]
2017-03-03 9:43:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37612], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [164]
2017-03-03 9:43:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [38229], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [296]
2017-03-03 9:43:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [38229], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [296]
2017-03-03 9:43:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [38231], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [208]
2017-03-03 9:43:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [38231], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [208]
2017-03-03 9:43:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [38232], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [386]
2017-03-03 9:43:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37952], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [178]
2017-03-03 9:43:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37953], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [241]
2017-03-03 9:43:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37954], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [241]
2017-03-03 9:43:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37491], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [352]
2017-03-03 9:43:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37951], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [272]
2017-03-03 9:43:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37783], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [105]
2017-03-03 9:43:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37159], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [128]
