2017-03-08 14:01:06 - [INFO] --> Logowanie użytkownika: [dgasiewski]
2017-03-08 14:02:13 - [INFO] --> Logowanie użytkownika: [znowak]
2017-03-08 14:03:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [39411], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [517]
2017-03-08 14:03:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [39412], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [564]
2017-03-08 14:03:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [39009], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [525]
2017-03-08 14:03:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40640], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [575]
2017-03-08 14:03:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37494], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [550]
2017-03-08 14:04:17 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40847], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [509]
2017-03-08 14:08:03 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37551], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [575]
2017-03-08 14:08:13 - [ERROR] --> Nieudane logowanie użytkownika: [tkarabiniewicz]
2017-03-08 14:08:13 - [ERROR] --> Nieudane logowanie użytkownika: [tkarabiniewicz]
2017-03-08 14:08:32 - [INFO] --> Logowanie użytkownika: [tkarabiniewicz]
2017-03-08 14:14:35 - [INFO] --> Logowanie użytkownika: [dnowakowski]
2017-03-08 14:14:56 - [INFO] --> Logowanie użytkownika: [dnowakowski_s]
2017-03-08 14:15:34 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Dariusz Nowakowski- Serwisant], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [270]
2017-03-08 14:15:34 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [41346], ID urządzenia: [149], Serwisant: [dnowakowski_s]
2017-03-08 14:15:58 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Dariusz Nowakowski- Serwisant], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [270]
2017-03-08 14:15:58 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [41347], ID urządzenia: [128], Serwisant: [dnowakowski_s]
2017-03-08 14:16:26 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/611/2017], ID dokumentu: [3062], Nazwa serisanta: [Dariusz Nowakowski- Serwisant], ID serwisanta: [40], Nazwa urządzenia: [Zasilacz], ID urządzenia: [43], Ilość: [1]
2017-03-08 14:24:18 - [INFO] --> Logowanie użytkownika: [dgasiewski]
2017-03-08 14:24:23 - [INFO] --> Logowanie użytkownika: [dgasiewski]
2017-03-08 14:26:22 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/612/2017], ID dokumentu: [3064], Nazwa serisanta: [Daniel Gąsiewski], ID serwisanta: [25], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-03-08 14:26:42 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/613/2017], ID dokumentu: [3065], Nazwa serisanta: [Daniel Gąsiewski], ID serwisanta: [25], Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [149], Ilość: [6]
2017-03-08 14:28:51 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [38915], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [575]
2017-03-08 14:42:09 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/529/2017], ID dokumentu: [3066], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-03-08 14:42:10 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/529/2017], ID dokumentu: [3066], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-03-08 14:42:10 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/529/2017], ID dokumentu: [3066], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-03-08 14:42:10 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/529/2017], ID dokumentu: [3066], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-03-08 14:42:10 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/529/2017], ID dokumentu: [3066], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-03-08 14:42:10 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/529/2017], ID dokumentu: [3066], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [1]
2017-03-08 14:42:10 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/529/2017], ID dokumentu: [3066], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
