2017-03-09 15:02:38 - [INFO] --> Logowanie użytkownika: [dgasiewski]
2017-03-09 15:09:42 - [INFO] --> Logowanie użytkownika: [dostawy]
2017-03-09 15:12:13 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/44/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-03-09 15:12:13 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/44/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-03-09 15:12:13 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/44/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-03-09 15:12:13 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/44/2017],  Nazwa urządzenia: [drukarka (Thino)], ID urządzenia: [17], Ilość: [1]
2017-03-09 15:12:13 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/44/2017],  Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-03-09 15:12:13 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/44/2017],  Nazwa urządzenia: [Bateria zamka], ID urządzenia: [145], Ilość: [1]
2017-03-09 15:12:13 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/44/2017],  Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2017-03-09 15:12:13 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/44/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [149], Ilość: [200]
2017-03-09 15:12:13 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/44/2017],  Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [20]
2017-03-09 15:12:23 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-03-09 15:12:28 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/44/2017],  Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [1], Ilość: [1]
2017-03-09 15:12:28 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/44/2017],  Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [7], Ilość: [1]
2017-03-09 15:12:28 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/44/2017],  Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [17], Ilość: [1]
2017-03-09 15:12:28 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/44/2017],  Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [20]
2017-03-09 15:12:28 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/44/2017],  Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [145], Ilość: [1]
2017-03-09 15:12:28 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/44/2017],  Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [148], Ilość: [3]
2017-03-09 15:12:29 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/44/2017],  Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [149], Ilość: [200]
