2017-03-12 19:03:26 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-03-12 19:07:59 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/637/2017], ID dokumentu: [3186], Nazwa serisanta: [Rafał Stawieraj], ID serwisanta: [33], Nazwa urządzenia: [Nagrzewnica], ID urządzenia: [28], Ilość: [1]
2017-03-12 19:07:59 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/637/2017], ID dokumentu: [3186], Nazwa serisanta: [Rafał Stawieraj], ID serwisanta: [33], Nazwa urządzenia: [Zasilacz], ID urządzenia: [43], Ilość: [2]
2017-03-12 19:07:59 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/637/2017], ID dokumentu: [3186], Nazwa serisanta: [Rafał Stawieraj], ID serwisanta: [33], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [2]
2017-03-12 19:07:59 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/637/2017], ID dokumentu: [3186], Nazwa serisanta: [Rafał Stawieraj], ID serwisanta: [33], Nazwa urządzenia: [Bateria zamka], ID urządzenia: [145], Ilość: [1]
2017-03-12 19:07:59 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/637/2017], ID dokumentu: [3186], Nazwa serisanta: [Rafał Stawieraj], ID serwisanta: [33], Nazwa urządzenia: [Bateria backup], ID urządzenia: [146], Ilość: [1]
2017-03-12 19:07:59 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/637/2017], ID dokumentu: [3186], Nazwa serisanta: [Rafał Stawieraj], ID serwisanta: [33], Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-03-12 19:07:59 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/637/2017], ID dokumentu: [3186], Nazwa serisanta: [Rafał Stawieraj], ID serwisanta: [33], Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [149], Ilość: [3]
2017-03-12 19:07:59 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/637/2017], ID dokumentu: [3186], Nazwa serisanta: [Rafał Stawieraj], ID serwisanta: [33], Nazwa urządzenia: [Jarzeniówka oświetlenie zewnętrzne], ID urządzenia: [151], Ilość: [1]
2017-03-12 19:08:00 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/637/2017], ID dokumentu: [3186], Nazwa serisanta: [Rafał Stawieraj], ID serwisanta: [33], Nazwa urządzenia: [Starter do jarzeniówki oświetlenia zewnętrznego], ID urządzenia: [153], Ilość: [1]
2017-03-12 19:10:25 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43520], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [301]
2017-03-12 19:10:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43515], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [215]
2017-03-12 19:10:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43516], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [101]
2017-03-12 19:10:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43517], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [104]
2017-03-12 19:10:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43518], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [284]
2017-03-12 19:10:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43519], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [219]
2017-03-12 19:11:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43311], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [298]
2017-03-12 19:11:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43074], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [395]
2017-03-12 19:11:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43075], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [309]
2017-03-12 19:12:47 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [42230], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [106]
2017-03-12 19:12:47 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [42231], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [115]
2017-03-12 19:12:47 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [42585], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [451]
2017-03-12 19:12:47 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [42585], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [451]
2017-03-12 19:12:47 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [42587], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [470]
2017-03-12 19:12:47 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43211], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [164]
2017-03-12 19:12:47 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43212], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [222]
2017-03-12 19:12:47 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43215], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [318]
2017-03-12 19:12:47 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43216], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [483]
2017-03-12 19:12:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41878], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [290]
2017-03-12 19:12:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [42632], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [262]
2017-03-12 19:12:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [42630], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [217]
2017-03-12 19:12:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [42131], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [224]
2017-03-12 19:12:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [42745], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [259]
2017-03-12 19:12:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43066], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [299]
2017-03-12 19:12:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43071], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [441]
2017-03-12 19:12:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [42144], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [334]
2017-03-12 19:12:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [42145], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [184]
2017-03-12 19:12:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [42146], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [272]
2017-03-12 19:12:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [42798], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [293]
2017-03-12 19:12:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [42799], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [277]
2017-03-12 19:12:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [42824], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [255]
2017-03-12 19:12:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43428], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [203]
2017-03-12 19:12:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43428], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [203]
2017-03-12 19:12:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43429], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [203]
2017-03-12 19:12:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43309], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [114]
2017-03-12 19:12:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43310], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [242]
2017-03-12 19:13:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41896], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [350]
2017-03-12 19:13:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43209], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [241]
2017-03-12 19:13:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43210], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [142]
2017-03-12 19:13:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41895], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [319]
2017-03-12 19:13:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41895], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [319]
2017-03-12 19:13:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43307], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [307]
2017-03-12 19:13:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [43308], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [394]
