2017-03-21 12:10:17 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-03-21 12:10:31 - [INFO] --> Logowanie użytkownika: [dostawy]
2017-03-21 12:14:14 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-03-21 12:14:14 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [drukarka (Thino)], ID urządzenia: [17], Ilość: [1]
2017-03-21 12:14:14 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-03-21 12:14:14 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [Plastikowa osłona anteny MIFARE], ID urządzenia: [139], Ilość: [2]
2017-03-21 12:14:14 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2017-03-21 12:14:15 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-03-21 12:14:15 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-03-21 12:14:15 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [1]
2017-03-21 12:14:15 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [1]
2017-03-21 12:14:15 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [1]
2017-03-21 12:14:15 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [1]
2017-03-21 12:18:09 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-03-21 12:21:10 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [1], Ilość: [2]
2017-03-21 12:21:10 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [7], Ilość: [1]
2017-03-21 12:21:10 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [14], Ilość: [1]
2017-03-21 12:21:10 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [17], Ilość: [1]
2017-03-21 12:21:10 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [3]
2017-03-21 12:21:10 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [39], Ilość: [1]
2017-03-21 12:21:10 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [44], Ilość: [1]
2017-03-21 12:21:10 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/18/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [139], Ilość: [2]
2017-03-21 12:50:53 - [INFO] --> Logowanie użytkownika: [mjanek]
