2017-03-23 4:43:10 - [INFO] --> Logowanie użytkownika: [pmikucki]
2017-03-23 4:45:54 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Paweł Mikucki], Urządzenie: [zespół drukarki do BM101 (stelaż, mechanizm druk., sterownik)], Id urządzenia: [76], Ilość: [-1], Nr boczny pojazdu: [7318], Nr automatu: [5424]
2017-03-23 4:45:54 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [49103], ID urządzenia: [76], Serwisant: [pmikucki]
2017-03-23 4:46:33 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Paweł Mikucki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [8084], Nr automatu: [5643]
2017-03-23 4:46:33 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [49104], ID urządzenia: [129], Serwisant: [pmikucki]
2017-03-23 4:46:54 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Paweł Mikucki], Urządzenie: [Akumulator 12V 2,3 Ah], Id urządzenia: [58], Ilość: [-1], Nr boczny pojazdu: [8084], Nr automatu: [5643]
2017-03-23 4:46:54 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [49105], ID urządzenia: [58], Serwisant: [pmikucki]
2017-03-23 4:51:59 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Paweł Mikucki], Urządzenie: [Kabel ZASILACZ - PC], Id urządzenia: [115], Ilość: [-1], Nr boczny pojazdu: [8086], Nr automatu: [5645]
2017-03-23 4:51:59 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [49106], ID urządzenia: [115], Serwisant: [pmikucki]
2017-03-23 4:52:29 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Paweł Mikucki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [8096], Nr automatu: [5655]
2017-03-23 4:52:29 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [49107], ID urządzenia: [129], Serwisant: [pmikucki]
2017-03-23 4:52:49 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Paweł Mikucki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [8105], Nr automatu: [5664]
2017-03-23 4:52:49 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [49108], ID urządzenia: [129], Serwisant: [pmikucki]
2017-03-23 4:53:09 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Paweł Mikucki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [8121], Nr automatu: [5679]
2017-03-23 4:53:09 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [49109], ID urządzenia: [129], Serwisant: [pmikucki]
2017-03-23 4:55:41 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Paweł Mikucki], Urządzenie: [zespół drukarki do BM101 (stelaż, mechanizm druk., sterownik)], Id urządzenia: [76], Ilość: [-1], Nr boczny pojazdu: [7335], Nr automatu: [5441]
2017-03-23 4:55:41 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [49110], ID urządzenia: [76], Serwisant: [pmikucki]
2017-03-23 4:56:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [Akumulator 12V 2,3 Ah], Id urządzenia: [58], Ilość: [-1]
2017-03-23 4:56:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [Antena dwupasmowa GSM/GPS], Id urządzenia: [59], Ilość: [-1]
2017-03-23 4:56:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [CR manual mobilny], Id urządzenia: [61], Ilość: [-2]
2017-03-23 4:56:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [kabel ZASILACZ - MAIN (4 żyły)], Id urządzenia: [64], Ilość: [-2]
2017-03-23 4:56:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [Komputer PC 104 AMD GEODE 500 (EVOC:EC3-1641 CLDNA)], Id urządzenia: [65], Ilość: [-1]
2017-03-23 4:56:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [MAIN (WRDE 0141)], Id urządzenia: [66], Ilość: [-2]
2017-03-23 4:56:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [opóźniacz], Id urządzenia: [69], Ilość: [-1]
2017-03-23 4:56:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [Wentylator 12 v 50x50], Id urządzenia: [73], Ilość: [-4]
2017-03-23 4:56:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [Zasilacz (WRKP0135)], Id urządzenia: [75], Ilość: [-2]
2017-03-23 4:56:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [Kabel sygnałowy LVDS do wyświetlacza 10cali użytego w BM102], Id urządzenia: [101], Ilość: [-1]
2017-03-23 4:56:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [Pakiet terminala kart zbliżeniowych w standardzie MIFARE (GAMMA SAMIF)], Id urządzenia: [112], Ilość: [-1]
2017-03-23 4:56:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [Kabel ZASILACZ - PC], Id urządzenia: [115], Ilość: [-1]
2017-03-23 4:56:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [Kabel ZASILACZ - MIFARE], Id urządzenia: [117], Ilość: [-1]
2017-03-23 4:56:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [Taśma do czytnika kart (CR - ARTEMA)], Id urządzenia: [121], Ilość: [-1]
2017-03-23 4:56:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [Kabel PC - DRUKARKA], Id urządzenia: [122], Ilość: [-2]
2017-03-23 4:56:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [Kabel ZASILACZ - MAIN (14pin)], Id urządzenia: [123], Ilość: [-2]
2017-03-23 4:56:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-20]
2017-03-23 4:56:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [Uchwyt nagrzewnicy automatu BM 101], Id urządzenia: [133], Ilość: [-5]
2017-03-23 4:56:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Paweł Mikucki], Urządzenie: [Sprężyna do koszyka w biletomacie BM 101], Id urządzenia: [134], Ilość: [-30]
