2017-03-30 9:06:50 - [INFO] --> Logowanie użytkownika: [dgasiewski]
2017-03-30 9:41:10 - [INFO] --> Logowanie użytkownika: [dostawy]
2017-03-30 9:56:04 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/21/2017],  Nazwa urządzenia: [Pleksi kieszeni na bilet], ID urządzenia: [144], Ilość: [5]
2017-03-30 9:56:04 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/21/2017],  Nazwa urządzenia: [Mechanizm ryglujący drzwi], ID urządzenia: [169], Ilość: [1]
2017-03-30 9:56:04 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/21/2017],  Nazwa urządzenia: [Starter do jarzeniówki oświetlenia zewnętrznego], ID urządzenia: [153], Ilość: [5]
2017-03-30 9:56:04 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/21/2017],  Nazwa urządzenia: [Drilling Protection (płytka antyprzewierceniowa)], ID urządzenia: [168], Ilość: [1]
2017-03-30 9:56:04 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/21/2017],  Nazwa urządzenia: [Nagrzewnica], ID urządzenia: [28], Ilość: [1]
2017-03-30 9:56:04 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/21/2017],  Nazwa urządzenia: [Nagrzewnica], ID urządzenia: [28], Ilość: [1]
2017-03-30 9:56:04 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/21/2017],  Nazwa urządzenia: [Nagrzewnica], ID urządzenia: [28], Ilość: [1]
2017-03-30 9:56:04 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/21/2017],  Nazwa urządzenia: [Nagrzewnica], ID urządzenia: [28], Ilość: [1]
2017-03-30 9:56:04 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/21/2017],  Nazwa urządzenia: [Nagrzewnica], ID urządzenia: [28], Ilość: [1]
2017-03-30 9:56:04 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/21/2017],  Nazwa urządzenia: [Nagrzewnica], ID urządzenia: [28], Ilość: [1]
2017-03-30 9:56:04 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/21/2017],  Nazwa urządzenia: [Nagrzewnica], ID urządzenia: [28], Ilość: [1]
2017-03-30 9:56:44 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-03-30 9:57:36 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/21/2017],  Nazwa urządzenia: [Nagrzewnica], ID urządzenia: [28], Ilość: [7]
2017-03-30 9:57:36 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/21/2017],  Nazwa urządzenia: [Nagrzewnica], ID urządzenia: [144], Ilość: [5]
2017-03-30 9:57:36 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/21/2017],  Nazwa urządzenia: [Nagrzewnica], ID urządzenia: [153], Ilość: [5]
2017-03-30 9:57:36 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/21/2017],  Nazwa urządzenia: [Nagrzewnica], ID urządzenia: [168], Ilość: [1]
2017-03-30 9:57:36 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/21/2017],  Nazwa urządzenia: [Nagrzewnica], ID urządzenia: [169], Ilość: [1]
