2017-03-31 10:26:14 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-03-31 10:33:11 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-03-31 10:34:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [53147], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [382]
2017-03-31 10:34:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [53148], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [382]
2017-03-31 10:36:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [53145], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [317]
2017-03-31 10:36:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [53146], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [317]
2017-03-31 10:36:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52255], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [272]
2017-03-31 10:36:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [53131], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [167]
2017-03-31 10:36:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52254], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [272]
2017-03-31 10:36:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [53130], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [167]
2017-03-31 10:36:51 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52263], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [124]
2017-03-31 10:37:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52987], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [265]
2017-03-31 10:37:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [53134], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [448]
2017-03-31 10:38:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [53141], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [219]
2017-03-31 10:39:13 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52269], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [119]
2017-03-31 10:40:59 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52598], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [184]
2017-03-31 10:40:59 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52857], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [184]
2017-03-31 10:41:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52259], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [276]
2017-03-31 10:42:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52021], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [458]
2017-03-31 10:42:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [53144], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [275]
2017-03-31 10:43:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52599], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [14]
2017-03-31 10:43:46 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52652], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [276]
2017-03-31 10:44:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52326], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [252]
2017-03-31 10:44:51 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52527], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [208]
2017-03-31 10:45:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52600], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [478]
2017-03-31 10:45:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [51270], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [14]
2017-03-31 10:56:26 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
