2017-04-05 2:40:56 - [INFO] --> Logowanie użytkownika: [mzerebecki]
2017-04-05 2:41:16 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mateusz Żerebecki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [5445], Nr automatu: [5562]
2017-04-05 2:41:16 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [55630], ID urządzenia: [129], Serwisant: [mzerebecki]
2017-04-05 2:43:00 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mateusz Żerebecki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [8050], Nr automatu: [5609]
2017-04-05 2:43:00 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [55631], ID urządzenia: [129], Serwisant: [mzerebecki]
2017-04-05 2:44:02 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mateusz Żerebecki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [8135], Nr automatu: [5693]
2017-04-05 2:44:02 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [55632], ID urządzenia: [129], Serwisant: [mzerebecki]
2017-04-05 2:47:27 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mateusz Żerebecki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [3103], Nr automatu: [5766]
2017-04-05 2:47:27 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [55633], ID urządzenia: [129], Serwisant: [mzerebecki]
2017-04-05 2:47:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Akumulator 12V 2,3 Ah], Id urządzenia: [58], Ilość: [-2]
2017-04-05 2:47:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Antena dwupasmowa GSM/GPS], Id urządzenia: [59], Ilość: [-1]
2017-04-05 2:47:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [CR manual mobilny], Id urządzenia: [61], Ilość: [-2]
2017-04-05 2:47:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [kabel ZASILACZ - MAIN (4 żyły)], Id urządzenia: [64], Ilość: [-2]
2017-04-05 2:47:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Komputer PC 104 AMD GEODE 500 (EVOC:EC3-1641 CLDNA)], Id urządzenia: [65], Ilość: [-1]
2017-04-05 2:47:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [MAIN (WRDE 0141)], Id urządzenia: [66], Ilość: [-2]
2017-04-05 2:47:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [opóźniacz], Id urządzenia: [69], Ilość: [-1]
2017-04-05 2:47:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Wentylator 12 v 50x50], Id urządzenia: [73], Ilość: [-4]
2017-04-05 2:47:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Zasilacz (WRKP0135)], Id urządzenia: [75], Ilość: [-2]
2017-04-05 2:47:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [zespół drukarki do BM101 (stelaż, mechanizm druk., sterownik)], Id urządzenia: [76], Ilość: [-1]
2017-04-05 2:47:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Kabel ZASILACZ - PC], Id urządzenia: [115], Ilość: [-2]
2017-04-05 2:47:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Kabel ZASILACZ - MIFARE], Id urządzenia: [117], Ilość: [-1]
2017-04-05 2:47:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Taśma do czytnika kart (CR - ARTEMA)], Id urządzenia: [121], Ilość: [-1]
2017-04-05 2:47:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Kabel PC - DRUKARKA], Id urządzenia: [122], Ilość: [-1]
2017-04-05 2:47:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Kabel ZASILACZ - MAIN (14pin)], Id urządzenia: [123], Ilość: [-2]
2017-04-05 2:47:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-20]
2017-04-05 2:47:42 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Uchwyt nagrzewnicy automatu BM 101], Id urządzenia: [133], Ilość: [-5]
