2017-04-10 19:22:31 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-04-10 19:22:49 - [INFO] --> Logowanie użytkownika: [dostawy]
2017-04-10 19:25:48 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/58/2017],  Nazwa urządzenia: [Bateria zamka], ID urządzenia: [145], Ilość: [1]
2017-04-10 19:25:48 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/58/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-04-10 19:25:48 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/58/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-04-10 19:25:48 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/58/2017],  Nazwa urządzenia: [Nagrzewnica], ID urządzenia: [28], Ilość: [1]
2017-04-10 19:25:48 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/58/2017],  Nazwa urządzenia: [Nagrzewnica], ID urządzenia: [28], Ilość: [1]
2017-04-10 19:25:48 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/58/2017],  Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-04-10 19:25:48 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/58/2017],  Nazwa urządzenia: [Zasilacz], ID urządzenia: [43], Ilość: [1]
2017-04-10 19:25:48 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/58/2017],  Nazwa urządzenia: [drukarka (Thino)], ID urządzenia: [17], Ilość: [1]
2017-04-10 19:25:48 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/58/2017],  Nazwa urządzenia: [PC], ID urządzenia: [30], Ilość: [1]
2017-04-10 19:26:09 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-04-10 19:26:20 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/58/2017],  Nazwa urządzenia: [PC], ID urządzenia: [17], Ilość: [1]
2017-04-10 19:26:20 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/58/2017],  Nazwa urządzenia: [PC], ID urządzenia: [28], Ilość: [2]
2017-04-10 19:26:20 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/58/2017],  Nazwa urządzenia: [PC], ID urządzenia: [30], Ilość: [1]
2017-04-10 19:26:20 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/58/2017],  Nazwa urządzenia: [PC], ID urządzenia: [39], Ilość: [1]
2017-04-10 19:26:20 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/58/2017],  Nazwa urządzenia: [PC], ID urządzenia: [43], Ilość: [1]
2017-04-10 19:26:20 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/58/2017],  Nazwa urządzenia: [PC], ID urządzenia: [145], Ilość: [1]
2017-04-10 19:26:20 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/58/2017],  Nazwa urządzenia: [PC], ID urządzenia: [148], Ilość: [2]
