2017-04-26 10:15:53 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-04-26 10:28:57 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/978/2017], ID dokumentu: [4441], Nazwa serisanta: [serwisant], ID serwisanta: [3], Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [149], Ilość: [141]
2017-04-26 10:31:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [64833], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [209]
2017-04-26 10:35:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65219], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [474]
2017-04-26 10:35:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [64820], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [483]
2017-04-26 10:39:16 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65413], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [326]
2017-04-26 10:41:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [64999], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [209]
2017-04-26 10:44:12 - [INFO] --> Logowanie użytkownika: [mjanek]
2017-04-26 10:45:08 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65215], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [313]
2017-04-26 10:45:08 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65216], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [313]
2017-04-26 10:49:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [64835], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [182]
2017-04-26 10:49:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [64632], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [182]
2017-04-26 10:50:08 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65214], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [313]
2017-04-26 10:51:45 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [64631], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [132]
