2017-05-25 8:36:52 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-05-25 8:41:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79728], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2208], Nr automatu: [5001]
2017-05-25 8:41:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79729], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2267], Nr automatu: [5142]
2017-05-25 8:41:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79730], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2288], Nr automatu: [5157]
2017-05-25 8:41:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79731], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2401], Nr automatu: [5357]
2017-05-25 8:41:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79732], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2464], Nr automatu: [5393]
2017-05-25 8:41:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79733], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2607], Nr automatu: [5259]
2017-05-25 8:41:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79734], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2610], Nr automatu: [5260]
2017-05-25 8:41:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79735], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2705], Nr automatu: [5270]
2017-05-25 8:41:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79736], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2715], Nr automatu: [5280]
2017-05-25 8:41:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79737], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3104], Nr automatu: [5768]
2017-05-25 8:41:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79738], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3119], Nr automatu: [5798]
2017-05-25 8:41:45 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79739], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4637], Nr automatu: [5751]
2017-05-25 8:43:18 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79762], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7002], Nr automatu: [5570]
2017-05-25 8:44:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79772], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8135], Nr automatu: [5693]
2017-05-25 8:44:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79761], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7002], Nr automatu: [5570]
2017-05-25 8:44:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79767], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8101], Nr automatu: [5660]
2017-05-25 8:45:45 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79760], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5430], Nr automatu: [5715]
2017-05-25 8:45:45 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79763], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7037], Nr automatu: [5831]
2017-05-25 8:45:45 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79764], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7349], Nr automatu: [5455]
2017-05-25 8:45:45 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79766], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8079], Nr automatu: [5638]
2017-05-25 8:45:45 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79768], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8104], Nr automatu: [5663]
2017-05-25 8:45:45 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79769], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8106], Nr automatu: [5665]
2017-05-25 8:45:46 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79770], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8135], Nr automatu: [5693]
2017-05-25 8:45:46 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79773], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8310], Nr automatu: [5517]
2017-05-25 8:45:46 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79774], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8312], Nr automatu: [5519]
2017-05-25 8:45:46 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79775], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8032], Nr automatu: [5493]
2017-05-25 8:53:35 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1110/2017], ID dokumentu: [5188], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-05-25 8:53:35 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1110/2017], ID dokumentu: [5188], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-05-25 8:53:35 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1110/2017], ID dokumentu: [5188], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-05-25 8:53:35 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1110/2017], ID dokumentu: [5188], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-05-25 8:53:35 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1110/2017], ID dokumentu: [5188], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-05-25 8:53:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1110/2017], ID dokumentu: [5188], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [1]
2017-05-25 8:53:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1110/2017], ID dokumentu: [5188], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [płytka do powerbox], ID urządzenia: [35], Ilość: [1]
2017-05-25 8:53:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1110/2017], ID dokumentu: [5188], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-05-25 8:53:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1110/2017], ID dokumentu: [5188], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-05-25 8:53:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1110/2017], ID dokumentu: [5188], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-05-25 8:53:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1110/2017], ID dokumentu: [5188], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-05-25 8:53:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1110/2017], ID dokumentu: [5188], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2017-05-25 8:53:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1110/2017], ID dokumentu: [5188], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [Plastikowa osłona anteny MIFARE], ID urządzenia: [139], Ilość: [1]
2017-05-25 8:55:40 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1111/2017], ID dokumentu: [5189], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-05-25 8:55:41 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1111/2017], ID dokumentu: [5189], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-05-25 8:55:41 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1111/2017], ID dokumentu: [5189], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-05-25 8:55:41 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1111/2017], ID dokumentu: [5189], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-05-25 8:55:41 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1111/2017], ID dokumentu: [5189], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-05-25 8:55:41 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1111/2017], ID dokumentu: [5189], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [1]
