2017-05-31 11:00:25 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-05-31 11:02:08 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-05-31 11:04:13 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [81981], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2500], Nr automatu: [5049]
2017-05-31 11:04:13 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [81982], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2528], Nr automatu: [5073]
2017-05-31 11:04:13 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [83044], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2217], Nr automatu: [5106]
2017-05-31 11:04:13 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [83045], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2238], Nr automatu: [5123]
2017-05-31 11:04:13 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [81904], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5402], Nr automatu: [5723]
2017-05-31 11:04:13 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [82491], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2352], Nr automatu: [5015]
2017-05-31 11:04:13 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [82583], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2352], Nr automatu: [5015]
2017-05-31 11:05:37 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-05-31 11:06:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [81370], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [256]
2017-05-31 11:06:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [82278], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [227]
2017-05-31 11:06:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [81586], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [124]
2017-05-31 11:08:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [82040], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [227]
2017-05-31 11:08:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [82268], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [318]
2017-05-31 11:09:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [81046], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [215]
2017-05-31 11:10:04 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [80475], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [458]
2017-05-31 11:11:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [82041], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [384]
2017-05-31 11:12:13 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79908], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [527]
2017-05-31 11:12:16 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [82277], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [424]
2017-05-31 11:12:39 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [82797], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [120]
2017-05-31 11:13:36 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [81045], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [405]
2017-05-31 11:16:01 - [INFO] --> Logowanie użytkownika: [tjasinski_s]
2017-05-31 11:20:03 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [80760], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [571]
2017-05-31 11:21:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [80586], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [458]
2017-05-31 11:22:46 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [82274], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [165]
