2017-06-07 7:09:45 - [INFO] --> Logowanie użytkownika: [jczajka]
2017-06-07 7:10:09 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/1245/2017], ID dokumentu: [5562], Nazwa serisanta: [Jacek Czajka], ID serwisanta: [28], Nazwa urządzenia: [EM Drukarka Edmonson], ID urządzenia: [167], Ilość: [1]
2017-06-07 7:19:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86603], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2316], Nr automatu: [5226]
2017-06-07 7:19:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86604], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2803], Nr automatu: [5245]
2017-06-07 7:19:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86605], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3206], Nr automatu: [5348]
2017-06-07 7:19:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86606], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5421], Nr automatu: [5367]
2017-06-07 7:19:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86607], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7025], Nr automatu: [5593]
2017-06-07 7:19:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86608], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7316], Nr automatu: [5422]
2017-06-07 7:19:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86609], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7330], Nr automatu: [5436]
2017-06-07 7:19:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86611], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8047], Nr automatu: [5606]
2017-06-07 7:19:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86612], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8075], Nr automatu: [5634]
2017-06-07 7:19:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86613], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8083], Nr automatu: [5642]
2017-06-07 7:19:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86614], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8136], Nr automatu: [5694]
2017-06-07 7:19:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86615], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8336], Nr automatu: [5543]
2017-06-07 7:19:45 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86610], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7330], Nr automatu: [5436]
2017-06-07 7:22:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86617], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2272], Nr automatu: [5145]
2017-06-07 7:22:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86618], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2206], Nr automatu: [5101]
2017-06-07 7:22:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86619], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2329], Nr automatu: [5232]
2017-06-07 7:22:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86620], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2350], Nr automatu: [5319]
2017-06-07 7:22:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86621], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2415], Nr automatu: [5370]
2017-06-07 7:22:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86622], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2459], Nr automatu: [5190]
2017-06-07 7:22:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86623], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2466], Nr automatu: [5395]
2017-06-07 7:22:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86624], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2426], Nr automatu: [5379]
2017-06-07 7:22:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86625], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2701], Nr automatu: [5266]
2017-06-07 7:22:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86626], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2716], Nr automatu: [5281]
2017-06-07 7:22:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86627], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3105], Nr automatu: [5769]
2017-06-07 7:22:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86628], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3119], Nr automatu: [5797]
2017-06-07 7:22:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86629], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3124], Nr automatu: [5808]
2017-06-07 7:22:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86630], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4409], Nr automatu: [5081]
2017-06-07 7:22:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86631], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4612], Nr automatu: [5167]
2017-06-07 7:22:36 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86632], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3131], Nr automatu: [5821]
2017-06-07 7:22:36 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86633], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4628], Nr automatu: [5747]
2017-06-07 7:22:36 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86634], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4629], Nr automatu: [5731]
2017-06-07 7:26:17 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86372], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [575]
