2017-06-08 7:02:21 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-06-08 7:06:18 - [INFO] --> Logowanie użytkownika: [rtworkowski]
2017-06-08 7:06:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/1250/2017], ID dokumentu: [5589], Nazwa serisanta: [Rafał Tworkowski], ID serwisanta: [26], Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [149], Ilość: [6]
2017-06-08 7:24:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87194], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2224], Nr automatu: [5111]
2017-06-08 7:24:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87195], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2330], Nr automatu: [5233]
2017-06-08 7:24:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87196], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2393], Nr automatu: [5352]
2017-06-08 7:24:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87197], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2419], Nr automatu: [5022]
2017-06-08 7:24:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87198], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2449], Nr automatu: [5182]
2017-06-08 7:24:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87199], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2450], Nr automatu: [5181]
2017-06-08 7:24:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87200], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7340], Nr automatu: [5446]
2017-06-08 7:24:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87201], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7353], Nr automatu: [5459]
2017-06-08 7:24:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87202], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8074], Nr automatu: [5633]
2017-06-08 7:24:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87203], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8125], Nr automatu: [5683]
2017-06-08 7:24:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87204], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8130], Nr automatu: [5688]
2017-06-08 7:24:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87205], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8072], Nr automatu: [5631]
2017-06-08 7:24:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87206], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5603], Nr automatu: [5185]
2017-06-08 7:24:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87207], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7318], Nr automatu: [5424]
2017-06-08 7:24:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87208], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7353], Nr automatu: [5459]
2017-06-08 7:24:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87209], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8307], Nr automatu: [5514]
2017-06-08 7:28:52 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87165], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2551], Nr automatu: [5090]
2017-06-08 7:28:52 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87168], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2276], Nr automatu: [5220]
2017-06-08 7:28:52 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87177], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2386], Nr automatu: [5343]
