2017-06-20 7:01:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93539], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [540]
2017-06-20 7:10:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93556], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2252], Nr automatu: [5135]
2017-06-20 7:10:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93564], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2253], Nr automatu: [5136]
2017-06-20 7:10:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93566], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2275], Nr automatu: [5148]
2017-06-20 7:10:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93567], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7007], Nr automatu: [5575]
2017-06-20 7:10:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93570], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7355], Nr automatu: [5461]
2017-06-20 7:10:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93571], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8031], Nr automatu: [5492]
2017-06-20 7:10:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93573], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8100], Nr automatu: [5659]
2017-06-20 7:10:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93574], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8138], Nr automatu: [5696]
2017-06-20 7:10:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93575], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8600], Nr automatu: [5707]
2017-06-20 7:12:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93554], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2312], Nr automatu: [5224]
2017-06-20 7:12:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93555], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2535], Nr automatu: [5078]
2017-06-20 7:12:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93557], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2556], Nr automatu: [5095]
2017-06-20 7:12:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93558], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2725], Nr automatu: [5829]
2017-06-20 7:12:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93560], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3108], Nr automatu: [5776]
2017-06-20 7:12:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93561], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3130], Nr automatu: [5819]
2017-06-20 7:12:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93562], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4412], Nr automatu: [5104]
2017-06-20 7:12:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93563], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4416], Nr automatu: [5558]
2017-06-20 7:12:59 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93565], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4602], Nr automatu: [5051]
2017-06-20 7:12:59 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93572], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4642], Nr automatu: [5759]
2017-06-20 7:12:59 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93559], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2725], Nr automatu: [5829]
2017-06-20 7:12:59 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [93569], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4602], Nr automatu: [5051]
2017-06-20 7:15:08 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-06-20 7:18:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1335/2017], ID dokumentu: [5947], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-06-20 7:18:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1335/2017], ID dokumentu: [5947], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-06-20 7:18:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1335/2017], ID dokumentu: [5947], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-06-20 7:18:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1335/2017], ID dokumentu: [5947], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-06-20 7:18:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1335/2017], ID dokumentu: [5947], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-06-20 7:18:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1335/2017], ID dokumentu: [5947], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [1]
2017-06-20 7:18:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1335/2017], ID dokumentu: [5947], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [płytka do powerbox], ID urządzenia: [35], Ilość: [1]
2017-06-20 7:18:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1335/2017], ID dokumentu: [5947], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-06-20 7:18:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1335/2017], ID dokumentu: [5947], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-06-20 7:18:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1335/2017], ID dokumentu: [5947], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-06-20 7:18:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1335/2017], ID dokumentu: [5947], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-06-20 7:18:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1335/2017], ID dokumentu: [5947], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2017-06-20 7:20:05 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1336/2017], ID dokumentu: [5948], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-06-20 7:20:05 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1336/2017], ID dokumentu: [5948], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-06-20 7:20:05 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1336/2017], ID dokumentu: [5948], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-06-20 7:20:05 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1336/2017], ID dokumentu: [5948], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
