2017-06-23 2:23:56 - [INFO] --> Logowanie użytkownika: [smiernik]
2017-06-23 2:24:10 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Szymon Miernik], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2523], Nr automatu: [5070]
2017-06-23 2:24:10 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [95703], ID urządzenia: [129], Serwisant: [smiernik]
2017-06-23 2:24:23 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Szymon Miernik], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2548], Nr automatu: [5087]
2017-06-23 2:24:23 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [95704], ID urządzenia: [129], Serwisant: [smiernik]
2017-06-23 2:24:39 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Szymon Miernik], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2468], Nr automatu: [5399]
2017-06-23 2:24:39 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [95705], ID urządzenia: [129], Serwisant: [smiernik]
2017-06-23 2:24:54 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Szymon Miernik], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2544], Nr automatu: [5083]
2017-06-23 2:24:54 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [95706], ID urządzenia: [129], Serwisant: [smiernik]
2017-06-23 2:25:10 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Szymon Miernik], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [3116], Nr automatu: [5792]
2017-06-23 2:25:10 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [95707], ID urządzenia: [129], Serwisant: [smiernik]
2017-06-23 2:25:25 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Szymon Miernik], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [4621], Nr automatu: [5750]
2017-06-23 2:25:25 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [95708], ID urządzenia: [129], Serwisant: [smiernik]
2017-06-23 2:25:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Akumulator 12V 2,3 Ah], Id urządzenia: [58], Ilość: [-2]
2017-06-23 2:25:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Antena dwupasmowa GSM/GPS], Id urządzenia: [59], Ilość: [-2]
2017-06-23 2:25:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [CR manual mobilny], Id urządzenia: [61], Ilość: [-2]
2017-06-23 2:25:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [kabel ZASILACZ - MAIN (4 żyły)], Id urządzenia: [64], Ilość: [-2]
2017-06-23 2:25:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Komputer PC 104 AMD GEODE 500 (EVOC:EC3-1641 CLDNA)], Id urządzenia: [65], Ilość: [-2]
2017-06-23 2:25:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [MAIN (WRDE 0141)], Id urządzenia: [66], Ilość: [-2]
2017-06-23 2:25:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [opóźniacz], Id urządzenia: [69], Ilość: [-1]
2017-06-23 2:25:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Wentylator 12 v 50x50], Id urządzenia: [73], Ilość: [-4]
2017-06-23 2:25:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Zasilacz (WRKP0135)], Id urządzenia: [75], Ilość: [-2]
2017-06-23 2:25:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [zespół drukarki do BM101 (stelaż, mechanizm druk., sterownik)], Id urządzenia: [76], Ilość: [-2]
2017-06-23 2:25:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Kabel sygnałowy LVDS do wyświetlacza 10cali użytego w BM102], Id urządzenia: [101], Ilość: [-1]
2017-06-23 2:25:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Pakiet terminala kart zbliżeniowych w standardzie MIFARE (GAMMA SAMIF)], Id urządzenia: [112], Ilość: [-1]
2017-06-23 2:25:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Kabel ZASILACZ - PC], Id urządzenia: [115], Ilość: [-2]
2017-06-23 2:25:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Kabel ZASILACZ - MIFARE], Id urządzenia: [117], Ilość: [-2]
