2017-06-28 7:03:14 - [INFO] --> Logowanie użytkownika: [dgasiewski]
2017-06-28 7:30:06 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/1441/2017], ID dokumentu: [6226], Nazwa serisanta: [Rafał Tworkowski], ID serwisanta: [26], Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [149], Ilość: [3]
2017-06-28 7:49:02 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-06-28 7:49:39 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [98479], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [509]
2017-06-28 7:49:40 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [98384], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [530]
2017-06-28 7:58:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [98653], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2288], Nr automatu: [5157]
2017-06-28 7:58:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [98675], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2809], Nr automatu: [5487]
2017-06-28 7:58:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [98676], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2358], Nr automatu: [5325]
2017-06-28 7:58:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [98677], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2400], Nr automatu: [5355]
2017-06-28 7:58:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [98678], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2712], Nr automatu: [5277]
2017-06-28 7:58:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [98679], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3012], Nr automatu: [5293]
2017-06-28 7:58:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [98680], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3104], Nr automatu: [5767]
2017-06-28 7:58:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [98681], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3125], Nr automatu: [5810]
2017-06-28 7:59:46 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [98645], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4638], Nr automatu: [5486]
2017-06-28 7:59:46 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [98648], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7333], Nr automatu: [5439]
2017-06-28 7:59:46 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [98650], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8077], Nr automatu: [5636]
2017-06-28 7:59:46 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [98651], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8102], Nr automatu: [5661]
2017-06-28 7:59:46 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [98654], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8324], Nr automatu: [5531]
2017-06-28 7:59:46 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [98649], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7333], Nr automatu: [5439]
