2017-06-29 7:16:45 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-06-29 7:28:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99133], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [533]
2017-06-29 7:47:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99270], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2201], Nr automatu: [5097]
2017-06-29 7:47:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99271], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2238], Nr automatu: [5123]
2017-06-29 7:47:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99272], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2401], Nr automatu: [5357]
2017-06-29 7:47:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99274], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2440], Nr automatu: [5387]
2017-06-29 7:47:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99275], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2478], Nr automatu: [5195]
2017-06-29 7:47:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99276], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2408], Nr automatu: [5361]
2017-06-29 7:47:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99277], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2714], Nr automatu: [5279]
2017-06-29 7:47:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99278], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3015], Nr automatu: [5296]
2017-06-29 7:47:25 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99279], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3131], Nr automatu: [5822]
2017-06-29 7:48:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99267], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2488], Nr automatu: [5039]
2017-06-29 7:48:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99268], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2807], Nr automatu: [5472]
2017-06-29 7:48:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99269], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3205], Nr automatu: [5347]
2017-06-29 7:48:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99300], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7022], Nr automatu: [5590]
2017-06-29 7:48:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99301], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7347], Nr automatu: [5453]
2017-06-29 7:48:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99302], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8091], Nr automatu: [5650]
2017-06-29 7:48:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99303], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8114], Nr automatu: [5673]
