2017-07-12 10:01:04 - [INFO] --> Logowanie użytkownika: [mprzybylski]
2017-07-12 10:24:09 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [107349], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [], Nr automatu: [543]
2017-07-12 10:24:09 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [107442], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2243], Nr automatu: [5008]
2017-07-12 10:24:09 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [107443], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2351], Nr automatu: [5016]
2017-07-12 10:24:09 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [107444], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2510], Nr automatu: [5057]
2017-07-12 10:24:09 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [107445], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2532], Nr automatu: [5401]
2017-07-12 10:24:09 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [107446], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2552], Nr automatu: [5091]
2017-07-12 10:24:10 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [107447], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2553], Nr automatu: [5092]
2017-07-12 10:24:10 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [107448], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2809], Nr automatu: [5487]
2017-07-12 10:24:10 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [107449], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2608], Nr automatu: [5258]
2017-07-12 10:24:10 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [107450], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2703], Nr automatu: [5268]
2017-07-12 10:24:10 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [107451], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2721], Nr automatu: [5825]
2017-07-12 10:24:10 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [107452], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2725], Nr automatu: [5829]
2017-07-12 10:24:10 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [107453], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [3102], Nr automatu: [5763]
