2017-07-24 7:12:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113743], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [559]
2017-07-24 7:13:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [112669], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [538]
2017-07-24 7:13:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [112670], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [549]
2017-07-24 7:13:36 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113678], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [529]
2017-07-24 7:13:36 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113679], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [593]
2017-07-24 7:33:57 - [INFO] --> Logowanie użytkownika: [mstaniszewski]
2017-07-24 7:56:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113023], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2446], Nr automatu: [5027]
2017-07-24 7:56:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113025], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3208], Nr automatu: [5120]
2017-07-24 7:56:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113026], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2712], Nr automatu: [5277]
2017-07-24 7:56:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113046], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2717], Nr automatu: [5752]
2017-07-24 7:56:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113047], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3008], Nr automatu: [5289]
2017-07-24 7:56:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113048], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3112], Nr automatu: [5783]
2017-07-24 7:56:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113049], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3115], Nr automatu: [5790]
2017-07-24 7:56:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113050], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3123], Nr automatu: [5805]
2017-07-24 7:56:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113051], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4414], Nr automatu: [5556]
2017-07-24 7:56:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113052], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3112], Nr automatu: [5784]
