2017-07-28 12:21:38 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-07-28 12:26:47 - [INFO] --> Logowanie użytkownika: [rstawieraj]
2017-07-28 12:43:13 - [INFO] --> Logowanie użytkownika: [dostawy]
2017-07-28 12:45:32 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/97/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-07-28 12:45:32 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/97/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-07-28 12:45:32 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/97/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-07-28 12:45:32 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/97/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-07-28 12:45:32 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/97/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-07-28 12:45:32 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/97/2017],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [25], Ilość: [1]
2017-07-28 12:45:32 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/97/2017],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [25], Ilość: [1]
2017-07-28 12:45:32 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/97/2017],  Nazwa urządzenia: [EM czytnik banknotów NV200], ID urządzenia: [188], Ilość: [1]
2017-07-28 12:45:32 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/97/2017],  Nazwa urządzenia: [EM czytnik banknotów NV200], ID urządzenia: [188], Ilość: [1]
2017-07-28 12:45:32 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/97/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [149], Ilość: [300]
2017-07-28 12:45:48 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-07-28 12:45:56 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/97/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [25], Ilość: [2]
2017-07-28 12:45:56 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/97/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [148], Ilość: [5]
2017-07-28 12:45:56 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/97/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [149], Ilość: [300]
2017-07-28 12:45:56 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/97/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [188], Ilość: [2]
