2017-08-12 16:17:47 - [INFO] --> Logowanie użytkownika: [tkopyra]
2017-08-12 16:26:59 - [INFO] --> Logowanie użytkownika: [mprzybylski]
2017-08-12 16:32:53 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124867], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2227], Nr automatu: [5178]
2017-08-12 16:32:53 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124868], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2265], Nr automatu: [5219]
2017-08-12 16:32:53 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124869], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [5413], Nr automatu: [5713]
2017-08-12 16:32:53 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124870], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [5601], Nr automatu: [5044]
2017-08-12 16:32:53 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124871], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [7339], Nr automatu: [5445]
2017-08-12 16:32:53 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124872], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [8058], Nr automatu: [5617]
2017-08-12 16:38:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124849], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [3126], Nr automatu: [5812]
2017-08-12 16:38:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124850], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [3123], Nr automatu: [5805]
2017-08-12 16:38:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124851], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [3120], Nr automatu: [5800]
2017-08-12 16:38:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124852], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [3007], Nr automatu: [5288]
2017-08-12 16:38:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124853], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2718], Nr automatu: [5728]
2017-08-12 16:38:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124854], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [3207], Nr automatu: [5119]
2017-08-12 16:38:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124855], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2505], Nr automatu: [5054]
2017-08-12 16:38:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124856], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2500], Nr automatu: [5049]
2017-08-12 16:38:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124857], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2489], Nr automatu: [5040]
2017-08-12 16:38:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124858], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2337], Nr automatu: [5310]
2017-08-12 16:38:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124859], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2304], Nr automatu: [5013]
2017-08-12 16:38:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [124861], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2268], Nr automatu: [5011]
