2017-08-18 9:02:24 - [INFO] --> Logowanie użytkownika: [rtworkowski]
2017-08-18 9:21:12 - [INFO] --> Logowanie użytkownika: [mprzybylski]
2017-08-18 9:36:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [127156], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2546], Nr automatu: [5085]
2017-08-18 9:36:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [127157], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2209], Nr automatu: [5002]
2017-08-18 9:36:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [127158], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2329], Nr automatu: [5232]
2017-08-18 9:36:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [127159], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2450], Nr automatu: [5181]
2017-08-18 9:36:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [127160], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2705], Nr automatu: [5270]
2017-08-18 9:36:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [127161], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2722], Nr automatu: [5326]
2017-08-18 9:36:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [127162], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [3123], Nr automatu: [5806]
2017-08-18 9:36:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [127163], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [4609], Nr automatu: [5127]
2017-08-18 9:36:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [127164], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [8097], Nr automatu: [5656]
2017-08-18 9:36:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [127165], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [8109], Nr automatu: [5668]
2017-08-18 9:36:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [127166], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [8300], Nr automatu: [5507]
