2017-08-23 9:20:48 - [INFO] --> Logowanie użytkownika: [mprzybylski]
2017-08-23 9:28:42 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-08-23 9:30:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129362], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2351], Nr automatu: [5016]
2017-08-23 9:30:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129363], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2354], Nr automatu: [5321]
2017-08-23 9:30:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129364], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2804], Nr automatu: [5374]
2017-08-23 9:30:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129365], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2289], Nr automatu: [5158]
2017-08-23 9:30:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129366], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2377], Nr automatu: [5338]
2017-08-23 9:30:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129367], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2477], Nr automatu: [5194]
2017-08-23 9:30:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129368], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3002], Nr automatu: [5283]
2017-08-23 9:30:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129369], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3010], Nr automatu: [5291]
2017-08-23 9:30:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129370], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2720], Nr automatu: [5824]
2017-08-23 9:30:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129371], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4602], Nr automatu: [5051]
2017-08-23 9:30:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129338], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2804], Nr automatu: [5374]
2017-08-23 9:32:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129355], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5401], Nr automatu: [5187]
2017-08-23 9:32:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129356], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5439], Nr automatu: [5332]
2017-08-23 9:32:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129357], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8050], Nr automatu: [5609]
2017-08-23 9:32:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129358], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8131], Nr automatu: [5689]
2017-08-23 9:32:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129359], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8138], Nr automatu: [5696]
2017-08-23 9:32:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129360], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8302], Nr automatu: [5509]
2017-08-23 9:32:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [129361], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8340], Nr automatu: [5547]
