2017-08-29 12:36:44 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-08-29 12:37:06 - [INFO] --> Logowanie użytkownika: [dostawy]
2017-08-29 12:41:49 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-08-29 12:41:49 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-08-29 12:41:49 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-08-29 12:41:49 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [drukarka (Thino)], ID urządzenia: [17], Ilość: [1]
2017-08-29 12:41:49 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [sterownik drukarki], ID urządzenia: [40], Ilość: [1]
2017-08-29 12:41:49 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [EM Smart Hopper], ID urządzenia: [194], Ilość: [1]
2017-08-29 12:41:49 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [Czytnik UX300], ID urządzenia: [161], Ilość: [1]
2017-08-29 12:41:49 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [Czytnik UX300], ID urządzenia: [161], Ilość: [1]
2017-08-29 12:41:49 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-08-29 12:41:49 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-08-29 12:41:49 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [149], Ilość: [200]
2017-08-29 12:42:01 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-08-29 12:42:33 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [1], Ilość: [3]
2017-08-29 12:42:33 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [17], Ilość: [1]
2017-08-29 12:42:33 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [39], Ilość: [1]
2017-08-29 12:42:33 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [40], Ilość: [1]
2017-08-29 12:42:33 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [148], Ilość: [1]
2017-08-29 12:42:33 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [149], Ilość: [200]
2017-08-29 12:42:33 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [161], Ilość: [2]
2017-08-29 12:42:33 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/115/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [194], Ilość: [1]
