2017-09-07 10:21:08 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-09-07 10:24:01 - [INFO] --> Logowanie użytkownika: [mprzybylski]
2017-09-07 10:24:30 - [INFO] --> Logowanie użytkownika: [rstawieraj]
2017-09-07 10:25:38 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Rafał Stawieraj], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [390]
2017-09-07 10:25:38 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [137826], ID urządzenia: [149], Serwisant: [rstawieraj]
2017-09-07 10:30:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137737], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2426], Nr automatu: [5379]
2017-09-07 10:30:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137738], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2441], Nr automatu: [5390]
2017-09-07 10:30:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137739], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2603], Nr automatu: [5255]
2017-09-07 10:30:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137740], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2723], Nr automatu: [5827]
2017-09-07 10:30:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137741], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [3002], Nr automatu: [5283]
2017-09-07 10:30:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137742], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [3013], Nr automatu: [5294]
2017-09-07 10:30:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137743], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [3104], Nr automatu: [5768]
2017-09-07 10:30:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137744], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [3115], Nr automatu: [5789]
2017-09-07 10:30:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137745], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [4606], Nr automatu: [5072]
2017-09-07 10:30:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137746], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [4615], Nr automatu: [5466]
