2017-09-08 8:07:11 - [INFO] --> Logowanie użytkownika: [mprzybylski]
2017-09-08 8:15:59 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138455], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2468], Nr automatu: [5399]
2017-09-08 8:15:59 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138456], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2605], Nr automatu: [5257]
2017-09-08 8:15:59 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138457], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2607], Nr automatu: [5259]
2017-09-08 8:16:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138458], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [3009], Nr automatu: [5290]
2017-09-08 8:16:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138459], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [3101], Nr automatu: [5761]
2017-09-08 8:16:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138460], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [3102], Nr automatu: [5763]
2017-09-08 8:16:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138461], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [3123], Nr automatu: [5805]
2017-09-08 8:16:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138462], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [3128], Nr automatu: [5815]
2017-09-08 8:16:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138463], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [4403], Nr automatu: [5242]
2017-09-08 8:16:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138464], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [4618], Nr automatu: [5499]
2017-09-08 8:16:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138465], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [4625], Nr automatu: [5553]
2017-09-08 8:16:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138454], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2468], Nr automatu: [5399]
2017-09-08 8:16:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138469], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2240], Nr automatu: [5005]
2017-09-08 8:16:00 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138470], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2498], Nr automatu: [5047]
2017-09-08 8:16:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138471], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2511], Nr automatu: [5060]
2017-09-08 8:16:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138472], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2561], Nr automatu: [5246]
2017-09-08 8:16:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138473], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2801], Nr automatu: [5153]
2017-09-08 8:16:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138474], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2207], Nr automatu: [5102]
2017-09-08 8:16:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138475], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2239], Nr automatu: [5125]
2017-09-08 8:16:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138476], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2263], Nr automatu: [5009]
2017-09-08 8:16:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138477], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2331], Nr automatu: [5302]
2017-09-08 8:16:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [138478], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2363], Nr automatu: [5328]
